id,Survey,Camera,Year,X,Y,nOcc,Habitat,Area,Zone,DistWater,Tree cover,DistVillag,Dog Freq,Human Freq,Freq small mammals,NDVI,Patch,Fishing Cat,Leopard Cat,Smooth-coated otter,Hairy-nosed otter,Large-spotted civet,Common Palm civet,Long-tailed macaque,Sunda Pangolin
74,4,KT33,2017,294169,1264995,124,Mixed mangrove,BSNP Mainland,BSNP,3,70,5140.668495,0.140430307,0.070215153,0,0.75725776,377.843,0,0,22,0,0,3,1,0
75,4,KT35A,2017,289438.2224,1268475.183,148,Back mangrove,KK Island,Koh Sralao CPA,110,70,880.5364754,0,0.561721226,0,0.660341561,259.465,3,0,0,0,0,0,2,0
76,4,KT37,2017,285906.0442,1269462.054,106,Back mangrove,KK Island,Koh Sralao CPA,60,90,3493.022779,0,0.070215153,0,0.748067319,259.465,2,0,0,0,0,0,9,0
77,4,KT38,2017,284125.6127,1266985.391,147,Fringe mangrove,KK Island,Koh Kapik CPA,2,80,684.0488566,0.561721226,0.351075766,0,0.755409241,374.747,1,0,1,0,0,0,21,0
78,4,KT39,2017,287150.3243,1266705.778,8,Fringe mangrove,Islet,Koh Sralao CPA,2,80,2790.128683,0,0.140430307,0.21064546,0.786080599,139.437,0,0,2,0,0,0,0,0
79,4,KT40,2017,287667.8208,1266959.626,9,Back mangrove,Islet,Koh Sralao CPA,35,20,2217.958154,0,0,0,0.580124259,103.469,0,0,0,0,0,0,0,0
80,4,S11,2017,295914.8737,1266812.007,50,Mixed mangrove,BSNP Mainland,BSNP,3,40,4541.997645,0,0.140430307,0.772366686,0.766395032,377.843,0,0,1,0,0,0,2,0
81,4,S8,2017,284849.6266,1266904.2,147,Fringe mangrove,KK Island,Koh Kapik CPA,2,60,1410.305521,0.070215153,0.21064546,0,0.68350172,374.747,1,0,10,0,0,0,9,0
82,4,S9,2017,284493.2706,1267092.625,147,Fringe mangrove,KK Island,Koh Kapik CPA,3,80,1057.038465,0.42129092,0.280860613,0.140430307,0.702871382,374.747,2,0,29,0,0,0,13,0
83,5,KT04,2018,284938,1266789,4,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,0,0,2.106454598,0.279953927,374.747,0,0,1,0,0,0,0,0
84,5,KT19A,2018,288282.5447,1268882.019,70,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,0.329088097,0.140430307,0.531899095,259.465,0,0,0,0,0,0,30,0
85,5,KT32,2018,291821,1269367,69,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0.164544048,0,0.442188889,299.2,1,0,10,0,1,1,9,0
86,5,KT37,2018,285906.0442,1269462.054,70,Back mangrove,KK Island,Koh Kapik CPA,60,90,3493.022779,0,0,0,0.516587675,259.465,0,0,0,0,0,0,6,0
87,5,KT38,2018,284125.6127,1266985.391,69,Fringe mangrove,KK Island,Koh Sralao CPA,40,80,684.0488566,1.809984533,1.151808339,0.351075766,0.487420052,374.747,1,0,0,0,0,0,11,0
88,5,KT41A,2018,287237.7147,1268749.784,4,Back mangrove,KK Island,Koh Sralao CPA,50,90,2758.540579,0,0,0,0.42882964,259.465,0,0,0,0,0,0,2,0
89,5,KT42,2018,287125.6814,1267773.384,69,Back mangrove,KK Island,Koh Sralao CPA,40,100,2648.829963,0,0,1.809984533,0.451273024,259.465,1,0,0,0,0,0,13,0
90,5,KT43,2018,288653.8846,1268813.135,69,Back mangrove,KK Island,Koh Kapik CPA,1,50,1606.014979,0,0.987264291,0,0.472254544,259.465,1,0,0,0,0,0,5,0
91,5,KT44,2018,284599.4902,1264192.249,43,Fringe mangrove,KK Island,Koh Kapik CPA,100,10,1056.284706,0.329088097,0.164544048,0,0.252432168,374.747,0,0,0,0,0,0,0,0
92,5,KT45,2018,284894.1544,1264619.076,12,Back mangrove,KK Island,Koh Kapik CPA,4,100,1573.475639,0,0,0,0.31414637,412.569,0,0,0,0,0,0,0,0
93,5,KT46,2018,283401.0331,1268172.677,27,Back mangrove,KK Island,Koh Sralao CPA,1,60,1187.219621,0,0,4.442689308,0.473986387,147.931,1,0,0,0,0,0,0,0
94,5,S9,2018,284493.2706,1267092.625,44,Fringe mangrove,KK Island,Koh Kapik CPA,3,80,1057.038465,1.151808339,0.164544048,0.164544048,0.431132078,374.747,0,0,15,0,0,0,4,0
95,6,KT04,2018,284938,1266789,7,Fringe mangrove,KK Island,Koh Kapik CPA,2,70,1509.193409,0,0,3.290880969,0.279953927,374.747,0,0,4,0,0,0,0,0
96,6,KT19A,2018,288282.5447,1268882.019,81,Back mangrove,KK Island,Koh Sralao CPA,75,80,1926.437205,0,0.584374982,2.303616678,0.531899095,259.465,0,0,0,0,0,0,36,0
97,6,KT32,2018,291821,1269367,78,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0,2.797248824,0.442188889,299.2,0,1,3,0,0,0,2,0
98,6,KT35A,2018,289438.2224,1268475.183,81,Back mangrove,KK Island,Koh Sralao CPA,110,70,880.5364754,0,0,0.493632145,0.422222227,259.465,0,0,0,0,0,0,0,0
99,6,KT37,2018,285906.0442,1269462.054,82,Back mangrove,KK Island,Koh Sralao CPA,60,90,3493.022779,0,0.194791661,4.607233356,0.516587675,259.465,1,0,0,0,0,0,11,0
100,6,KT38,2018,284125.6127,1266985.391,32,Fringe mangrove,KK Island,Koh Kapik CPA,2,80,684.0488566,0.584374982,0.584374982,0.164544048,0.487420052,374.747,0,0,0,0,0,0,3,0
101,6,KT41A,2018,287237.7147,1268749.784,81,Back mangrove,KK Island,Koh Sralao CPA,40,90,2758.540579,0,0,0,0.42882964,259.465,0,0,0,0,0,0,1,0
102,6,KT47,2018,292924.224,1269085.513,78,Mixed mangrove,PKWS Mainland,PKWS,6,60,3458.447085,0,1.363541624,0,0.281216055,299.2,0,6,0,0,1,9,4,0
103,7,KT32,2018,291821,1269367,42,Mixed mangrove,PKWS Mainland,PKWS,4,100,2665.837752,0,0,0,0.442188889,299.2,0,0,0,0,0,0,8,0
